@relation shear_viscosity_predicted

@attribute Pressure numeric
@attribute Temperature numeric
@attribute X1 numeric
@attribute X2 numeric
@attribute X3 numeric
@attribute X4 numeric
@attribute X5 numeric
@attribute X6 numeric
@attribute X7 numeric
@attribute X8 numeric
@attribute X9 numeric
@attribute X10 numeric
@attribute X11 numeric
@attribute X12 numeric
@attribute X13 numeric
@attribute X14 numeric
@attribute X15 numeric
@attribute X16 numeric
@attribute X17 numeric
@attribute X18 numeric
@attribute X19 numeric
@attribute X20 numeric
@attribute X21 numeric
@attribute X22 numeric
@attribute X23 numeric
@attribute X24 numeric
@attribute X25 numeric
@attribute X26 numeric
@attribute X27 numeric
@attribute X28 numeric
@attribute X29 numeric
@attribute X30 numeric
@attribute X31 numeric
@attribute X32 numeric
@attribute X33 numeric
@attribute X34 numeric
@attribute X35 numeric
@attribute X36 numeric
@attribute X37 numeric
@attribute X38 numeric
@attribute X39 numeric
@attribute X40 numeric
@attribute X41 numeric
@attribute X42 numeric
@attribute X43 numeric
@attribute X44 numeric
@attribute X45 numeric
@attribute X46 numeric
@attribute X47 numeric
@attribute X48 numeric
@attribute X49 numeric
@attribute predictedViscosity numeric
@attribute Viscosity numeric

@data
50000,8900,0.306209,0.210106,0.144835,0.100305,0.069789,0.048784,0.03426,0.024172,0.017135,0.012204,0.008732,0.006278,0.004535,0.003291,0.0024,0.001758,0.001294,0.000957,0.000712,0.000532,0.000399,0.000301,0.000228,0.000174,0.000133,0.000102,0.000079,0.000061,0.000048,0.000038,0.00003,0.000024,0.000019,0.000015,0.000012,0.00001,0.000008,0.000007,0.000005,0.000004,0.000004,0.000003,0.000003,0.000002,0.000002,0.000002,0.000001,0.000001,0,0.000116,0.000115
90000,600,0.298876,0.00112,0.000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.000025,0.000025
60000,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000053,0.000053
40000,6500,0.238154,0.142194,0.08544,0.051665,0.031441,0.019256,0.011869,0.007362,0.004596,0.002888,0.001826,0.001162,0.000745,0.00048,0.000312,0.000203,0.000134,0.000089,0.000059,0.00004,0.000027,0.000018,0.000012,0.000009,0.000006,0.000004,0.000003,0.000002,0.000001,0.000001,0.000001,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.00009,0.00009
20000,4700,0.404478,0.198216,0.097993,0.048873,0.02459,0.012482,0.006392,0.003302,0.001721,0.000905,0.00048,0.000257,0.000139,0.000076,0.000042,0.000023,0.000013,0.000007,0.000004,0.000002,0.000001,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.00008,0.00008
40000,4100,0.221937,0.097982,0.043695,0.019683,0.008956,0.004117,0.001911,0.000897,0.000425,0.000203,0.000098,0.000048,0.000024,0.000012,0.000006,0.000003,0.000002,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.000067,0.000068
90000,9100,0.240312,0.166261,0.115552,0.080674,0.05658,0.039863,0.028213,0.020059,0.014327,0.01028,0.00741,0.005366,0.003904,0.002853,0.002095,0.001546,0.001146,0.000853,0.000638,0.00048,0.000362,0.000275,0.00021,0.000161,0.000124,0.000096,0.000074,0.000058,0.000046,0.000036,0.000029,0.000023,0.000018,0.000015,0.000012,0.00001,0.000008,0.000006,0.000005,0.000004,0.000004,0.000003,0.000003,0.000002,0.000002,0.000002,0.000001,0.000001,0.2,0.000111,0.000112
90000,1600,0.087649,0.010785,0.001362,0.000176,0.000023,0.000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.000037,0.000038
30000,6500,0.317539,0.189592,0.11392,0.068887,0.041922,0.025675,0.015825,0.009816,0.006128,0.00385,0.002435,0.00155,0.000993,0.00064,0.000415,0.000271,0.000178,0.000118,0.000079,0.000053,0.000036,0.000024,0.000017,0.000011,0.000008,0.000006,0.000004,0.000003,0.000002,0.000001,0.000001,0.000001,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.000094,0.000094
80000,2800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000049,0.000049
30000,6700,0.077501,0.046991,0.028668,0.017598,0.010869,0.006755,0.004224,0.002658,0.001683,0.001072,0.000687,0.000443,0.000288,0.000188,0.000124,0.000082,0.000054,0.000036,0.000025,0.000017,0.000011,0.000008,0.000005,0.000004,0.000003,0.000002,0.000001,0.000001,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.000081,0.000081
101325,1100,0.476215,0.02261,0.001115,0.000057,0.000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.000036,0.000036
30000,2300,0.689286,0.16048,0.038039,0.00918,0.002256,0.000564,0.000144,0.000037,0.00001,0.000003,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.000057,0.000057
40000,2100,0.079631,0.016137,0.003335,0.000703,0.000151,0.000033,0.000007,0.000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.000044,0.000044
90000,5200,0.04703,0.024683,0.013058,0.006963,0.003743,0.002028,0.001107,0.00061,0.000338,0.000189,0.000107,0.000061,0.000035,0.00002,0.000012,0.000007,0.000004,0.000002,0.000001,0.000001,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.000069,0.000069
101325,3000,0.469425,0.153562,0.05093,0.017125,0.005838,0.002018,0.000707,0.000251,0.000091,0.000033,0.000012,0.000005,0.000002,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.000062,0.000063
100000,5700,0.175717,0.097589,0.054592,0.030762,0.01746,0.009982,0.005749,0.003335,0.001949,0.001147,0.00068,0.000406,0.000244,0.000148,0.000091,0.000056,0.000035,0.000022,0.000014,0.000009,0.000005,0.000004,0.000002,0.000001,0.000001,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.000079,0.00008
20000,5600,0.222593,0.122331,0.067727,0.037774,0.021224,0.012013,0.006851,0.003936,0.002278,0.001328,0.00078,0.000462,0.000275,0.000165,0.0001,0.000061,0.000038,0.000023,0.000015,0.000009,0.000006,0.000004,0.000002,0.000002,0.000001,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.000081,0.000081
